@RELATION test

@ATTRIBUTE v1	REAL
@ATTRIBUTE v2	REAL
@ATTRIBUTE v3	REAL
@ATTRIBUTE v4	REAL
@ATTRIBUTE v5	REAL
@ATTRIBUTE v6	REAL
@ATTRIBUTE v7	REAL
@ATTRIBUTE v8	REAL
@ATTRIBUTE v9	REAL
@ATTRIBUTE v10	REAL
@ATTRIBUTE v11	REAL
@ATTRIBUTE v12	REAL
@ATTRIBUTE v13	REAL
@ATTRIBUTE v14	REAL
@ATTRIBUTE v15	REAL
@ATTRIBUTE v16	REAL
@ATTRIBUTE v17	REAL
@ATTRIBUTE v18	REAL
@ATTRIBUTE v19	REAL
@ATTRIBUTE v20	REAL
@ATTRIBUTE v21	REAL
@ATTRIBUTE v22	REAL
@ATTRIBUTE v23	REAL
@ATTRIBUTE v24	REAL
@ATTRIBUTE v25	REAL
@ATTRIBUTE v26	REAL
@ATTRIBUTE v27	REAL
@ATTRIBUTE v28	REAL
@ATTRIBUTE v29	REAL
@ATTRIBUTE v30	REAL
@ATTRIBUTE v31	REAL
@ATTRIBUTE v32	REAL
@ATTRIBUTE v33	REAL
@ATTRIBUTE v34	REAL
@ATTRIBUTE v35	REAL
@ATTRIBUTE v36	REAL
@ATTRIBUTE v37	REAL
@ATTRIBUTE v38	REAL
@ATTRIBUTE v39	REAL
@ATTRIBUTE v40	REAL
@ATTRIBUTE v41	REAL
@ATTRIBUTE v42	REAL
@ATTRIBUTE v43	REAL
@ATTRIBUTE v44	REAL
@ATTRIBUTE v45	REAL
@ATTRIBUTE v46	REAL
@ATTRIBUTE v47	REAL
@ATTRIBUTE v48	REAL
@ATTRIBUTE v49	REAL
@ATTRIBUTE v50	REAL
@ATTRIBUTE v51	REAL
@ATTRIBUTE v52	REAL
@ATTRIBUTE v53	REAL
@ATTRIBUTE v54	REAL
@ATTRIBUTE v55	REAL
@ATTRIBUTE v56	REAL
@ATTRIBUTE v57	REAL
@ATTRIBUTE v58	REAL
@ATTRIBUTE v59	REAL
@ATTRIBUTE v60	REAL
@ATTRIBUTE v61	REAL
@ATTRIBUTE v62	REAL
@ATTRIBUTE v63	REAL
@ATTRIBUTE v64	REAL
@ATTRIBUTE v65	REAL
@ATTRIBUTE v66	REAL
@ATTRIBUTE v67	REAL
@ATTRIBUTE v68	REAL
@ATTRIBUTE v69	REAL
@ATTRIBUTE v70	REAL
@ATTRIBUTE v71	REAL
@ATTRIBUTE v72	REAL
@ATTRIBUTE v73	REAL
@ATTRIBUTE v74	REAL
@ATTRIBUTE v75	REAL
@ATTRIBUTE v76	REAL
@ATTRIBUTE v77	REAL
@ATTRIBUTE v78	REAL
@ATTRIBUTE v79	REAL
@ATTRIBUTE v80	REAL
@ATTRIBUTE v81	REAL
@ATTRIBUTE v82	REAL
@ATTRIBUTE v83	REAL
@ATTRIBUTE v84	REAL
@ATTRIBUTE v85	REAL
@ATTRIBUTE v86	REAL
@ATTRIBUTE v87	REAL
@ATTRIBUTE v88	REAL
@ATTRIBUTE v89	REAL
@ATTRIBUTE v90	REAL
@ATTRIBUTE v91	REAL
@ATTRIBUTE v92	REAL
@ATTRIBUTE v93	REAL
@ATTRIBUTE v94	REAL
@ATTRIBUTE v95	REAL
@ATTRIBUTE v96	REAL
@ATTRIBUTE v97	REAL
@ATTRIBUTE v98	REAL
@ATTRIBUTE v99	REAL
@ATTRIBUTE v100	REAL
@ATTRIBUTE class 	{cl1,cl2,cl3,cl4}

@DATA
31,89,86,-1000000,-1000000,22,-1000000,96,18,35,28,54,-1000000,-1000000,95,-1000000,-1000000,-1000000,99,-1000000,63,-1000000,49,-1000000,-1000000,-1000000,6,11,-1000000,50,93,-1000000,82,91,-1000000,-1000000,59,77,-1000000,4,79,1,35,-1000000,56,-1000000,29,-1000000,-1000000,96,-1000000,-1000000,12,-1000000,-1000000,94,-1000000,91,-1000000,55,-1000000,-1000000,23,-1000000,6,52,-1000000,60,-1000000,-1000000,15,47,78,-1000000,-1000000,70,21,-1000000,80,33,-1000000,89,21,56,14,42,35,80,51,74,-1000000,-1000000,5,-1000000,-1000000,-1000000,52,-1000000,-1000000,-1000000,cl1
64,24,70,23,-1000000,-1000000,2,-1000000,15,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,14,34,-1000000,-1000000,10,75,-1000000,-1000000,63,67,-1000000,-1000000,46,-1000000,-1000000,70,74,16,48,-1000000,-1000000,-1000000,23,83,61,7,9,-1000000,-1000000,98,-1000000,81,-1000000,67,33,-1000000,32,-1000000,13,-1000000,64,65,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,75,94,29,-1000000,-1000000,38,-1000000,36,-1000000,-1000000,-1000000,28,97,37,80,30,25,6,-1000000,-1000000,82,-1000000,-1000000,42,-1000000,-1000000,-1000000,66,-1000000,66,59,83,15,-1000000,85,75,4,cl1
80,-1000000,65,-1000000,84,-1000000,-1000000,62,-1000000,87,-1000000,-1000000,8,-1000000,68,39,-1000000,31,-1000000,-1000000,38,-1000000,84,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,50,-1000000,-1000000,-1000000,-1000000,67,-1000000,50,-1000000,48,-1000000,28,-1000000,-1000000,30,53,-1000000,39,-1000000,19,-1000000,-1000000,46,43,92,82,-1000000,82,83,-1000000,81,-1000000,-1000000,24,59,-1000000,-1000000,-1000000,-1000000,96,-1000000,28,37,84,-1000000,-1000000,17,-1000000,-1000000,40,34,-1000000,33,45,15,-1000000,-1000000,13,-1000000,-1000000,47,-1000000,-1000000,38,84,44,-1000000,-1000000,-1000000,-1000000,-1000000,cl1
-1000000,79,79,-1000000,13,-1000000,60,-1000000,-1000000,27,80,76,-1000000,8,-1000000,53,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,56,1,-1000000,11,-1000000,71,46,17,19,-1000000,42,45,-1000000,-1000000,84,-1000000,-1000000,-1000000,-1000000,26,-1000000,-1000000,23,64,78,-1000000,51,17,60,-1000000,92,-1000000,48,64,-1000000,-1000000,-1000000,-1000000,76,17,64,90,48,98,0,-1000000,69,99,20,15,70,-1000000,47,52,-1000000,3,97,-1000000,39,-1000000,-1000000,13,-1000000,-1000000,-1000000,12,-1000000,15,-1000000,-1000000,19,-1000000,66,-1000000,39,cl1
-1000000,43,35,38,48,-1000000,11,-1000000,-1000000,11,51,-1000000,-1000000,-1000000,-1000000,-1000000,77,42,55,47,-1000000,16,55,50,1,91,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,0,-1000000,-1000000,-1000000,68,-1000000,3,-1000000,-1000000,59,-1000000,50,-1000000,35,2,68,48,-1000000,29,44,-1000000,-1000000,65,81,-1000000,-1000000,48,9,-1000000,23,49,-1000000,-1000000,35,2,43,-1000000,5,-1000000,94,-1000000,-1000000,35,-1000000,-1000000,99,-1000000,-1000000,10,-1000000,-1000000,8,11,-1000000,-1000000,-1000000,-1000000,32,74,22,94,82,-1000000,56,-1000000,12,59,cl1
-1000000,-1000000,72,82,93,-1000000,-1000000,70,95,-1000000,0,-1000000,10,-1000000,-1000000,89,-1000000,-1000000,-1000000,19,79,-1000000,12,64,31,74,55,-1000000,59,74,-1000000,18,-1000000,36,91,11,-1000000,64,-1000000,35,25,48,20,78,21,-1000000,-1000000,31,89,16,26,-1000000,84,-1000000,6,39,-1000000,1,-1000000,-1000000,-1000000,32,74,33,-1000000,58,18,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,1,38,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,74,-1000000,-1000000,76,16,-1000000,-1000000,41,43,46,-1000000,-1000000,-1000000,-1000000,23,-1000000,57,-1000000,cl1
67,10,-1000000,-1000000,53,80,17,14,-1000000,-1000000,95,45,36,66,14,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,28,64,-1000000,-1000000,22,80,85,8,66,40,4,49,-1000000,66,-1000000,49,42,-1000000,90,-1000000,-1000000,-1000000,47,-1000000,0,35,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,15,-1000000,-1000000,-1000000,88,-1000000,-1000000,-1000000,-1000000,-1000000,29,22,-1000000,55,13,-1000000,97,-1000000,-1000000,80,-1000000,94,-1000000,36,-1000000,87,32,21,95,-1000000,6,49,66,76,-1000000,99,2,-1000000,-1000000,-1000000,8,-1000000,96,-1000000,cl1
-1000000,66,96,1,93,-1000000,21,-1000000,62,66,86,90,27,-1000000,-1000000,8,-1000000,40,-1000000,81,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,35,-1000000,-1000000,-1000000,69,-1000000,-1000000,-1000000,-1000000,2,2,88,-1000000,-1000000,52,-1000000,-1000000,96,6,74,16,-1000000,-1000000,8,27,-1000000,-1000000,-1000000,-1000000,-1000000,50,-1000000,-1000000,-1000000,-1000000,52,-1000000,72,-1000000,-1000000,-1000000,30,-1000000,16,-1000000,-1000000,5,-1000000,-1000000,-1000000,58,-1000000,-1000000,35,-1000000,72,63,26,69,8,-1000000,-1000000,13,-1000000,-1000000,-1000000,59,11,36,17,70,70,-1000000,cl1
64,-1000000,38,92,-1000000,48,34,-1000000,28,-1000000,14,32,-1000000,46,83,95,79,-1000000,39,59,76,14,-1000000,-1000000,63,22,-1000000,26,8,55,96,-1000000,-1000000,88,-1000000,-1000000,47,44,-1000000,57,85,15,17,74,-1000000,-1000000,55,40,-1000000,67,94,38,-1000000,-1000000,-1000000,59,10,21,-1000000,85,-1000000,26,97,62,-1000000,45,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,83,14,-1000000,-1000000,65,-1000000,-1000000,-1000000,29,16,64,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,64,62,-1000000,-1000000,-1000000,87,34,-1000000,17,39,-1000000,cl1
96,-1000000,16,-1000000,-1000000,-1000000,32,-1000000,-1000000,-1000000,75,-1000000,15,-1000000,-1000000,54,-1000000,-1000000,-1000000,38,1,-1000000,71,-1000000,32,-1000000,-1000000,65,-1000000,-1000000,-1000000,66,-1000000,-1000000,2,-1000000,1,-1000000,66,53,-1000000,73,-1000000,61,51,47,-1000000,60,96,-1000000,74,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,55,64,23,-1000000,-1000000,9,82,-1000000,97,53,31,-1000000,36,-1000000,42,91,85,-1000000,-1000000,-1000000,35,60,-1000000,78,9,55,33,74,52,17,-1000000,90,-1000000,-1000000,-1000000,97,55,75,-1000000,cl1
-1000000,15,60,-1000000,79,-1000000,-1000000,-1000000,-1000000,73,92,42,-1000000,15,10,-1000000,-1000000,96,-1000000,53,16,60,39,-1000000,91,-1000000,54,79,57,89,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,14,11,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,27,-1000000,53,-1000000,-1000000,-1000000,30,7,24,-1000000,98,-1000000,4,-1000000,-1000000,-1000000,38,-1000000,79,75,21,25,-1000000,-1000000,-1000000,-1000000,-1000000,88,-1000000,36,61,-1000000,54,-1000000,-1000000,-1000000,-1000000,9,39,43,10,-1000000,-1000000,37,93,13,cl1
87,-1000000,24,-1000000,73,84,-1000000,-1000000,-1000000,-1000000,-1000000,21,23,30,86,-1000000,51,99,-1000000,43,93,-1000000,50,85,-1000000,22,96,96,-1000000,91,47,-1000000,67,89,27,20,77,-1000000,-1000000,52,48,-1000000,13,30,39,56,82,43,-1000000,97,25,-1000000,-1000000,27,26,-1000000,29,37,48,46,75,-1000000,-1000000,37,18,29,-1000000,-1000000,86,-1000000,-1000000,-1000000,11,4,20,98,-1000000,27,24,27,82,-1000000,-1000000,-1000000,-1000000,24,-1000000,-1000000,99,54,77,97,15,76,94,14,-1000000,29,77,62,cl1
52,-1000000,-1000000,-1000000,98,75,36,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,93,14,-1000000,95,81,-1000000,69,12,36,13,-1000000,-1000000,22,-1000000,80,39,94,-1000000,-1000000,82,-1000000,-1000000,61,81,-1000000,56,98,-1000000,98,-1000000,-1000000,-1000000,85,1,-1000000,54,-1000000,22,72,-1000000,-1000000,-1000000,-1000000,-1000000,76,31,-1000000,20,94,66,50,-1000000,1,-1000000,84,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,23,-1000000,18,44,-1000000,87,86,-1000000,67,90,-1000000,-1000000,18,20,20,21,58,-1000000,-1000000,65,-1000000,-1000000,39,32,cl1
-1000000,-1000000,-1000000,-1000000,68,-1000000,-1000000,34,-1000000,-1000000,-1000000,67,56,-1000000,-1000000,-1000000,-1000000,-1000000,80,-1000000,99,-1000000,-1000000,-1000000,79,56,87,-1000000,62,-1000000,-1000000,-1000000,92,19,80,15,-1000000,-1000000,-1000000,57,70,-1000000,63,-1000000,-1000000,-1000000,7,-1000000,4,-1000000,96,85,-1000000,-1000000,85,-1000000,1,48,-1000000,87,-1000000,-1000000,-1000000,70,26,-1000000,87,-1000000,77,80,84,-1000000,-1000000,87,-1000000,41,-1000000,15,-1000000,22,83,51,6,-1000000,75,-1000000,-1000000,75,14,-1000000,12,40,31,81,64,-1000000,91,77,-1000000,-1000000,cl1
